observation_id,study_number,reference,independent_variable ,dependent_variable,additional independent variable,genus,organism(s),generation_time_metric ,generation_local_time ,generation_local_time_unit,generation_time_standardized_hours,generation_time_standardized_days,generation_local_time_source,generation_local_time_TEMP,generation_time_temp_conditions,dispersal,wave_type,variation_color,larger group,organization_level,duration,duration_unit,duration_standardized_days,flux_period,flux_period_unit,flux_period_days,flux_period_hours,manipulate_explicity ,natural_period ,notes
221,46,gonzalez_2004,temperature ,per capita growth rate ,,,Asterionella ,,,,,0,,,,,,white,,population,21,days ,21,12,hours ,0.5,12,y,,
222,46,gonzalez_2004,temperature ,per capita growth rate ,,,Staurastrum ,,,,,0,,,,,,white,,population,21,days ,21,12,hours ,0.5,12,y,,
223,46,gonzalez_2004,temperature ,per capita growth rate ,,,Seenedesmus,,,,,0,,,,,,white,,population,21,days ,21,12,hours ,0.5,12,y,,
224,46,gonzalez_2004,temperature ,per capita growth rate ,,,Chlorella ,,,,,0,,,,,,white,,population,21,days ,21,12,hours ,0.5,12,y,,
225,46,gonzalez_2004,temperature ,per capita growth rate ,,,Kirchneriella ,,,,,0,,,,,,white,,population,21,days ,21,12,hours ,0.5,12,y,,
226,46,gonzalez_2004,temperature ,per capita growth rate ,,,"Synedra, Staurastrum, Chlorella ",,,,,0,,,,,,white,,community,21,days ,21,12,hours ,0.5,12,y,,
227,46,gonzalez_2004,temperature ,per capita growth rate ,,,"Asterionella, Staurastrum, Kirchneriella ",,,,,0,,,,,,white,,community,21,days ,21,12,hours ,0.5,12,y,,
228,46,gonzalez_2004,temperature ,per capita growth rate ,,,"Synedra, Asterionella, Seenedesmus",,,,,0,,,,,,white,,community,21,days ,21,12,hours ,0.5,12,y,,
229,46,gonzalez_2004,temperature ,per capita growth rate ,,,"Synedra, Asterionella, Staurastrum, Seenedesmus, Chlorella, Kirchneriella ",,,,,0,,,,,,white,,community,21,days ,21,12,hours ,0.5,12,y,,
230,47,holt_2003,temporal variation?,growth rate,,,n/a,,,,,0,,,,yes,,white,,population,,,,,,,,,,
231,47,holt_2003,temporal variation?,growth rate,,,n/a,,,,,0,,,,yes,square,red,,population,,,,,,,,,,
232,48,miramontes_1998,temporal fluctuations,color spectra ,,,Lucilia cuprina,,,,,0,,,,no,,red,,population,,,,,,,,,,
233,48,miramontes_1998,temporal fluctuations,color spectra ,,,Heterospilus prosopidis,,,,,0,,,,no,,red,,population,,,,,,,,,,
234,48,miramontes_1998,temporal fluctuations,color spectra ,,,Callosobruchus chinensis,,,,,0,,,,no,,red,,population,,,,,,,,,,
235,49,luckinbill_1978,bacterial concentration,population density ,,Colpidium,Colpidium campylum,generation time ,12,hours,12,0.5,https://www.jstor.org/stable/3856?seq=7#metadata_info_tab_contents,20 C,,yes?,square ,red?,,population,195,days,195,21,days,21,504,y,1-3 week intervals of high/low bacterial concentration ,
236,49,luckinbill_1978,bacterial concentration,population density ,,Colpidium,Colpidium campylum,generation time ,12,hours,12,0.5,https://www.jstor.org/stable/3856?seq=7#metadata_info_tab_contents,20 C,,yes?,square ,red?,,population,195,days,195,14,days,14,336,y,,
237,49,luckinbill_1978,bacterial concentration,population density ,,Colpidium,Colpidium campylum,generation time ,12,hours,12,0.5,https://www.jstor.org/stable/3856?seq=7#metadata_info_tab_contents,20 C,,yes?,square ,red?,,population,195,days,195,7,days ,4,96,y,,
238,49,luckinbill_1978,bacterial concentration,population density ,,Paramecium,Paramecium primaurelia,doubling time ,4.33,hours ,4.33,0.180416667,https://www.jstor.org/stable/4250710?seq=10#metadata_info_tab_contents,20 C,,yes?,square ,red?,,population,195,days,195,21,days,21,504,y,,
239,49,luckinbill_1978,bacterial concentration,population density ,,Paramecium,Paramecium primaurelia,doubling time ,4.33,hours ,4.33,0.180416667,https://www.jstor.org/stable/4250710?seq=10#metadata_info_tab_contents,20 C,,yes?,square ,red?,,population,195,days,195,14,days,14,336,y,,
240,49,luckinbill_1978,bacterial concentration,population density ,,Paramecium,Paramecium primaurelia,doubling time ,4.33,hours ,4.33,0.180416667,https://www.jstor.org/stable/4250710?seq=10#metadata_info_tab_contents,20 C,,yes?,square ,red?,,population,195,days,195,7,days,4,96,y,,
241,49,luckinbill_1978,bacterial concentration,population density ,,Paramecium,Paramecium tetraurelia,doubling time ,4.33,hours ,4.33,0.180416667,https://www.jstor.org/stable/4250710?seq=10#metadata_info_tab_contents,20 C,,yes?,square ,red?,,population,195,days,195,21,days,21,504,y,,
242,49,luckinbill_1978,bacterial concentration,population density ,,Paramecium,Paramecium tetraurelia,doubling time ,4.33,hours ,4.33,0.180416667,https://www.jstor.org/stable/4250710?seq=10#metadata_info_tab_contents,20 C,,yes?,square ,red?,,population,195,days,195,14,days,14,336,y,,
243,49,luckinbill_1978,bacterial concentration,population density ,,Paramecium,Paramecium tetraurelia,doubling time ,4.33,hours ,4.33,0.180416667,https://www.jstor.org/stable/4250710?seq=10#metadata_info_tab_contents,20 C,,yes?,square ,red?,,population,195,days,195,7,days,4,96,y,,
244,50,laakso_2003,temperature,mean cell size,,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,,yes?,,red ,,population,400, hours,16.667,18,days,18,432,y,,
245,50,laakso_2003,temperature,mean cell size,,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,,yes?,,white,,population,400, hours,16.667,,,,,y,,
246,50,laakso_2003,temperature,mean cell size,,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,,yes?,,blue ,,population,400, hours,16.667,1,hour,0.041666667,1,y,,
247,50,laakso_2003,temperature,mean population biomass,,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,,yes?,,red ,,population,400, hours,16.667,18,days,18,432,y,,
248,50,laakso_2003,temperature,mean population biomass,,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,,yes?,,white,,population,400, hours,16.667,,,,,y,,
249,50,laakso_2003,temperature,mean population biomass,,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,,yes?,,blue ,,population,400, hours,16.667,1,hour,0.041666667,1,y,,
250,50,laakso_2003,food supply ,mean cell size,,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,,yes?,,red ,,population,400, hours,16.667,1,hour,0.041666667,1,y,,
251,50,laakso_2003,food supply ,mean cell size,,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,,yes?,,white,,population,400, hours,16.667,1,hour,0.041666667,1,y,,
252,50,laakso_2003,food supply ,mean cell size,,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,,yes?,,blue ,,population,400, hours,16.667,1,hour,0.041666667,1,y,,
253,50,laakso_2003,food supply ,mean population biomass,,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,,yes?,,red ,,population,400, hours,16.667,1,hour,0.041666667,1,y,,
254,50,laakso_2003,food supply ,mean population biomass,,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,,yes?,,white,,population,400, hours,16.667,1,hour,0.041666667,1,y,,
255,50,laakso_2003,food supply ,mean population biomass,,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,,yes?,,blue ,,population,400, hours,16.667,1,hour,0.041666667,1,y,,
256,51,hancock_2011,temperature ,,,,Ixodes ricinus,,,,,0,,,,,,,,,,,,,,0,,,,
257,52,estay_2011,temperature,growth rate ,,,Tribolium confusum,generation time,76.8-78.1,days,1858.8,77.45,https://www.mdpi.com/2075-4450/11/4/218/pdf,30 C,,no,,,,population,1,month,30,12,hours ,0.5,12,y ,mathematical diurnal?,
258,52,estay_2011,temperature,population density ,,,Tribolium confusum,generation time,76.8-78.1,days,1858.8,77.45,https://www.mdpi.com/2075-4450/11/4/218/pdf,30 C,,no,,,,population,1,month,30,12,hours ,0.5,12,y ,mathematical diurnal?,
259,53,parrott_2010,temperature ,,,,Chrysemys picta,,,,,,,,,,,,,,,,,,,,,,,
260,54,guzzo_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
